OPO,Year,calc_deaths,calc_deaths_lb,calc_deaths_ub
OPO4,2015,3074.575,3026.575,3122.575
OPO4,2016,3146.335,3098.335,3194.335
OPO4,2017,3163.3,3123.3,3203.3
OPO4,2018,3079.76,3039.76,3119.76
OPO4,2019,3125.53,3069.53,3181.53
OPO4,2020,3201.24,3157.24,3245.24
OPO6,2015,1252.0,1252.0,1252.0
OPO6,2016,1263.0,1263.0,1263.0
OPO6,2017,1388.0,1388.0,1388.0
OPO6,2018,1388.0,1388.0,1388.0
OPO6,2019,1349.0,1349.0,1349.0
OPO6,2020,1437.0,1437.0,1437.0
OPO2,2015,1596.0,1504.0,1688.0
OPO2,2016,1672.0,1564.0,1780.0
OPO2,2017,1790.0,1690.0,1890.0
OPO2,2018,1690.0,1602.0,1778.0
OPO2,2019,1660.0,1564.0,1756.0
OPO2,2020,1740.0,1632.0,1848.0
OPO5,2015,1515.33,1323.33,1707.33
OPO5,2016,1534.255,1330.255,1738.255
OPO5,2017,1668.21,1492.21,1844.21
OPO5,2018,1576.24,1368.24,1784.24
OPO5,2019,1556.0,1364.0,1748.0
OPO5,2020,1640.45,1444.45,1836.45
OPO3,2015,675.56,659.56,691.56
OPO3,2016,656.265,620.265,692.265
OPO3,2017,730.305,714.305,746.305
OPO3,2018,767.265,759.265,775.265
OPO3,2019,780.07,760.07,800.07
OPO3,2020,710.21,690.21,730.21
OPO1,2015,2852.69,2688.69,3016.69
OPO1,2016,2954.13,2786.13,3122.13
OPO1,2017,3112.34,2960.34,3264.34
OPO1,2018,3019.04,2863.04,3175.04
OPO1,2019,3148.8,2984.8,3312.8
OPO1,2020,3236.5,3080.5,3392.5
